
1-央视,#genre#
CCTV-14,http://1.195.111.251:11190/tsfile/live/0014_1.m3u8
CCTV-14,http://47.93.215.244:80/udp/225.1.8.14:8132
CCTV-15,http://124.165.251.82:9999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://223.112.219.174:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://123.154.30.252:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://111.11.98.205:9900/hls/15/index.m3u8
CCTV-15,http://47.93.215.244:80/udp/225.1.8.115:8052
CCTV-15,http://47.93.215.244:80/udp/225.1.8.74:8136
CCTV-15,http://1.24.190.98:10080/hls/15/index.m3u8
CCTV-15,http://1b6467f415.iok.la:9931/tsfile/live/1035_1.m3u8
CCTV-15,http://123.154.30.252:9901/tsfile/live/0015_1.m3u8
CCTV-15,http://ssrs2004.win:8888/rtp/239.112.205.214:5140
CCTV-15,http://36.35.16.98:9901/tsfile/live/0015_1.m3u8
CCTV-15,http://183.3.134.56:9901/tsfile/live/0015_1.m3u8
CCTV-15,http://1.202.9.192:8888/udp/225.1.8.115:8052
CCTV-15,http://120.7.86.46:808/hls/15/index.m3u8
CCTV-15,http://1.195.111.251:11190/tsfile/live/0015_1.m3u8
CCTV-15,http://14.212.185.138:9901/tsfile/live/0015_1.m3u8
CCTV-15,http://222.83.181.3:9901/tsfile/live/0015_1.m3u8
CCTV-16,http://mail.petzhu.top:7000/rtp/239.254.201.150:6345
CCTV-16,http://218.241.192.50:8808/rtp/239.3.1.183:8001
CCTV-16,http://webmail.axxe.top:4022/rtp/239.3.1.183:8001
CCTV-16,http://223.72.19.116:4022/rtp/239.3.1.183:8001
CCTV-16,http://ssrs2004.win:8888/rtp/239.111.205.134:5140
CCTV-17,http://47.93.215.244:80/udp/225.1.8.17:8144
CCTV-17,http://36.35.16.98:9901/tsfile/live/0019_1.m3u8
CCTV-17,http://183.3.134.56:9901/tsfile/live/0017_1.m3u8
CCTV-17,http://1.202.9.192:8888/udp/225.1.8.117:8064
CCTV-17,http://ssrs2004.win:8888/rtp/239.112.205.211:5140
CCTV-17,http://dms.yryyj.site:8188/udp/239.76.245.238:1234
CCTV-17,http://14.212.185.138:9901/tsfile/live/0017_1.m3u8
CCTV-17,http://47.93.215.244:80/udp/225.1.8.117:8064
CCTV-17,http://1b6467f415.iok.la:9931/tsfile/live/1130_1.m3u8
2-全国卫视,#genre#
东方卫视,http://112.101.78.50:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://1.24.190.98:10080/hls/66/index.m3u8
东方卫视,http://60.27.20.217:4022/rtp/225.1.2.31:5002
东方卫视,http://14.212.185.138:9901/tsfile/live/0107_1.m3u8
东方卫视,http://47.93.215.244:80/udp/225.1.8.147:8192
东方卫视,http://47.93.215.244:80/udp/225.1.8.45:8032
东方卫视,http://36.35.16.98:9901/tsfile/live/0001_34.m3u8
东方卫视,http://111.11.98.205:9900/hls/34/index.m3u8
东方卫视,http://183.3.134.56:9901/tsfile/live/0107_1.m3u8
东方卫视,http://ik6.iptv8.net:8888/rtp/225.1.4.22:1051
东方卫视,http://1.195.111.251:11190/tsfile/live/0107_1.m3u8
东方卫视,http://123.154.30.252:9901/tsfile/live/0018_1.m3u8
东方卫视,http://1.202.9.192:8888/udp/225.1.8.147:8192
东方卫视,http://14.19.211.0:6688/udp/239.77.1.48:5146
东方卫视,http://120.7.86.46:808/hls/32/index.m3u8
东方卫视,http://58.57.21.166:9901/tsfile/live/0107_1.m3u8
东方卫视,http://ssrs2004.win:8888/rtp/239.112.205.61:5140
东方卫视,http://219.147.200.9:18080/newlive/live/hls/28/live.m3u8
东方卫视,http://14.19.211.0:6688/udp/239.77.0.49:5146
东方卫视,http://112.101.78.50:9901/tsfile/live/0107_1.m3u8
湖南卫视,http://116.131.173.194:809/hls/25/index.m3u8
湖南卫视,http://58.51.111.46:1111/tsfile/live/1022_1.m3u8
湖南卫视,http://112.99.200.2:9901/tsfile/live/0128_2.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://14.212.185.138:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://112.101.78.50:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://111.11.98.205:9900/hls/30/index.m3u8
湖南卫视,http://222.83.181.3:9901/tsfile/live/0124_1.m3u8
湖南卫视,http://ik6.iptv8.net:8888/rtp/225.1.4.17:1046
湖南卫视,http://120.7.86.46:808/hls/18/index.m3u8
湖南卫视,http://1.24.190.98:10080/hls/60/index.m3u8
湖南卫视,http://121.24.99.94:8090/hls/56/index.m3u8
湖南卫视,http://123.154.30.252:9901/tsfile/live/0019_1.m3u8
湖南卫视,http://1.195.111.251:11190/tsfile/live/0128_1.m3u8
湖南卫视,http://112.101.78.50:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://47.93.215.244:80/udp/225.1.8.132:8064
湖南卫视,http://36.35.16.98:9901/tsfile/live/0001_20.m3u8
湖南卫视,http://220.180.229.250:9901/tsfile/live/0128_2.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://ssrs2004.win:8888/rtp/239.112.205.62:5140
湖南卫视,http://47.93.215.244:80/udp/225.1.8.41:8012
湖南卫视,http://1.202.9.192:8888/udp/225.1.8.132:8064
湖南卫视,http://58.57.21.166:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://183.3.134.56:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://219.147.200.9:18080/newlive/live/hls/30/live.m3u8
湖南卫视,http://14.19.211.0:6688/udp/239.77.0.46:5146
湖南卫视,http://14.19.211.0:6688/udp/239.77.1.29:5146
湖南卫视,http://www.yao87.com:4022/udp/239.76.253.101:9000
湖南卫视,http://www.yao87.com:4022/udp/239.76.246.100:1234
湖南卫视,http://www.yao87.com:4022/udp/239.76.253.100:9000
湖南卫视,http://www.yao87.com:4022/udp/239.76.245.115:1234
湖南卫视,http://www.yao87.com:4022/udp/239.76.246.101:1234
浙江卫视,http://112.99.200.2:9901/tsfile/live/0124_2.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://1.195.111.251:11190/tsfile/live/0124_2.m3u8
浙江卫视,http://112.101.78.50:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://123.154.30.252:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://222.83.181.3:9901/tsfile/live/0130_1.m3u8
浙江卫视,http://60.27.20.217:4022/rtp/225.1.1.112:5002
浙江卫视,http://ssrs2004.win:8888/rtp/239.112.205.64:5140
浙江卫视,http://14.212.185.138:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://219.147.200.9:18080/newlive/live/hls/29/live.m3u8
浙江卫视,http://47.93.215.244:80/udp/225.1.8.133:8284
浙江卫视,http://36.35.16.98:9901/tsfile/live/0001_24.m3u8
浙江卫视,http://111.11.98.205:9900/hls/31/index.m3u8
浙江卫视,http://14.19.211.0:6688/udp/239.77.0.47:5146
浙江卫视,http://1.202.9.192:8888/udp/225.1.8.133:8284
浙江卫视,http://14.19.211.0:6688/udp/239.77.1.32:5146
浙江卫视,http://112.101.78.50:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://183.3.134.56:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://ik6.iptv8.net:8888/rtp/225.1.4.19:1048
浙江卫视,http://58.57.21.166:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://121.24.99.94:8090/hls/79/index.m3u8
